N,eps_sol,eps_bssg,eps_solsol,dfe,dfe_min,tds,seq
5,0.1,0,0,-3.037623,-3.037623,-3.620642,00010
15,-0.4,-1,0,2.29865,-0.287273,-4.991925,000000000000100
5,-0.5,1,0,-1.774098,-1.774098,-3.864605,00010
15,0.4,-4,0,0.017817,-1.809102,-4.727174,000000000000100
10,0.1,0.5,0,-3.054934,-3.054934,-4.434852,0000000100
15,0.1,0,0,-1.970842,-1.970842,-5.871299,000000000100000
10,-0.5,1,0,1.035331,-0.187795,-5.795535,0001000000
10,-0.1,-4,0,4.641591,-0.215848,-3.926345,0000000010
10,0.2,-3,0,-0.547486,-0.547486,-2.6119,0000010000
12,0.1,-4,0,0.574816,-0.232104,-2.295137,000010000000
7,0,1,0,-1.911811,-1.911811,-3.947456,0001000
10,0.5,1,0,-6.347235,-6.347235,-4.354716,0000100000
10,0.1,-1,0,-2.099779,-2.099779,-4.611971,0000100000
7,-0.5,-3,0,2.12947,-0.203371,-6.679587,0001000
7,-0.5,-2,0,3.816533,-0.225012,-2.238341,0000100
7,0.4,0.5,0,-5.272427,-5.272427,-4.751602,0001000
12,0.1,0,0,-2.127581,-2.127581,-4.892518,000000100000
12,0,1,0,-1.042138,-1.042138,-5.020511,000001000000
10,0.3,-1,0,-3.965476,-3.965476,-4.917671,0000100000
12,-0.3,-2,0,0.929877,-0.228064,-4.720635,000001000000
15,0.1,-1,0,-0.764711,-0.764711,-3.661054,000000000000100
15,0.1,-5,0,3.569077,-0.214185,-4.396963,000000000001000
5,-0.5,-2,0,4.520248,-0.219239,-3.428661,00010
15,-0.1,-4,0,5.462851,-0.203074,-4.688553,000000000000100
7,-0.4,-6,0,6.153495,-0.235089,-3.595462,0000010
10,-0.4,-2,0,4.506703,-0.227794,-3.155749,0000000010
10,0.4,0.5,0,-6.005637,-6.005637,-5.319028,0000010000
15,0.4,-4,0,-0.634995,-1.617566,-3.884668,000000000001000
12,-0.4,0.5,0,0.991463,-0.241351,-5.064074,000010000000
7,-0.4,-2,0,1.93343,-0.214745,-5.404715,0001000
12,0.3,1,0,-5.458499,-5.458499,-4.441416,000000001000
10,0.5,1,0,-6.747947,-6.747947,-3.277904,0000001000
15,0.4,-6,0,1.1818,-1.53075,-10.195161,000000000001000
7,0.3,-3,0,1.327572,-0.208007,-4.226708,0000010
5,0.4,-6,0,1.033082,-0.199742,-3.984548,00100
5,-0.1,-5,0,4.305715,-0.235077,-3.597458,00010
15,-0.1,-2,0,1.458247,-0.209505,-4.238143,000000000001000
10,0.4,-3,0,-2.389465,-2.389465,-2.958091,0000010000
12,-0.4,-1,0,2.121398,-0.215783,-5.608179,000010000000
12,-0.2,-5,0,3.118002,-0.224369,-0.937915,000000100000
7,-0.1,1,0,-0.92813,-0.92813,-4.057688,0001000
7,-0.4,-5,0,7.157931,-0.209339,-4.111357,0000100
7,-0.1,1,0,-1.961114,-1.961114,-3.748381,0000100
12,0.4,0,0,-6.356643,-6.356643,-3.466027,000000100000
12,-0.4,-5,0,2.055912,-0.188174,-6.441436,000010000000
10,0.3,-4,0,-0.165568,-0.550752,-1.155011,0000010000
15,-0.4,-3,0,1.549885,-0.296008,-6.262988,000000100000000
7,0.4,0,0,-5.181874,-5.181874,-4.573875,0001000
7,-0.4,0.5,0,1.037895,-0.188571,-5.172492,0001000
10,0.1,0,0,-2.197857,-2.197857,-4.835076,0000100000
15,0.1,-1,0,-1.840837,-1.840837,-4.991656,000000000100000
15,-0.5,-6,-0.01,-0.203339,-0.878002,1.409095,1E+14
10,-0.5,-6,-0.01,0.420863,-0.40318,0.441629,1000000000
5,-0.5,-6,-0.01,2.138884,-0.208412,-1.155833,10000
15,-0.5,-5,-0.01,-0.658245,-0.658245,-2.476177,1E+14
5,-0.5,-5,-0.01,1.312527,-0.200722,-3.318497,10000
10,-0.5,-5,-0.01,-0.538427,-0.538427,-0.377441,1000000000
15,-0.5,-4,-0.01,-1.138774,-1.138774,-4.356795,1E+14
10,-0.5,-4,-0.01,-1.461704,-1.461704,-3.688296,1000000000
5,-0.5,-4,-0.01,-0.041431,-0.212823,-3.393668,10000
5,-0.5,-3,-0.01,-1.013186,-1.013186,-3.820334,10000
10,-0.5,-3,-0.01,-1.648555,-1.648555,-3.916508,1000000000
15,-0.5,-3,-0.01,-1.727801,-1.727801,-4.255685,1E+14
10,-0.5,-2,-0.01,-1.717792,-1.717792,-3.87918,1000000000
5,-0.5,-2,-0.01,-1.51279,-1.51279,-3.729507,10000
15,-0.5,-2,-0.01,-1.492789,-1.492789,-3.379122,1E+14
5,-0.5,-1,-0.01,-1.739428,-1.739428,-3.721453,10000
10,-0.5,-1,-0.01,-1.593543,-1.593543,-3.266288,1000000000
15,-0.5,-1,-0.01,-1.703555,-1.703555,-3.704115,1E+14
10,-0.5,0,-0.01,-1.553807,-1.553807,-3.8722,1000000000
15,-0.5,0,-0.01,-1.594088,-1.594088,-5.432035,1E+14
5,-0.5,0,-0.01,-1.773776,-1.773776,-3.278662,10000
15,-0.5,0.5,-0.01,-1.584116,-1.584116,-4.286098,1E+14
5,-0.5,0.5,-0.01,-1.816828,-1.816828,-3.214538,10000
10,-0.5,0.5,-0.01,-1.633075,-1.633075,-3.33056,1000000000
10,-0.5,1,-0.01,-1.637249,-1.637249,-3.813585,1000000000
15,-0.5,1,-0.01,-1.737417,-1.737417,-3.582844,1E+14
5,-0.5,1,-0.01,-1.823633,-1.823633,-3.202908,10000
15,-0.4,-6,-0.01,0.21536,-0.256058,1.868281,1E+14
10,-0.4,-6,-0.01,1.262143,-0.239465,0.874329,1000000000
5,-0.4,-6,-0.01,3.473776,-0.234304,-0.046787,10000
15,-0.4,-5,-0.01,-0.677769,-0.677769,-0.823915,1E+14
5,-0.4,-5,-0.01,1.964671,-0.211221,-1.524628,10000
10,-0.4,-5,-0.01,-0.318056,-0.318056,-1.294344,1000000000
15,-0.4,-4,-0.01,-0.834491,-0.834491,-1.833654,1E+14
10,-0.4,-4,-0.01,-1.108211,-1.108211,-2.134638,1000000000
5,-0.4,-4,-0.01,0.310545,-0.20481,-3.10429,10000
5,-0.4,-3,-0.01,-0.964731,-0.964731,-3.380443,10000
